1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,description,file,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_name,parm,predict_time_min,score_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,file_load_time_min,message
0.0,0.0,0.0,40.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,37.0,0.7244897959183673,0.568,1.0,142.0,0.568,review_body-tfidf-df_95-ngram11-999-106-lda40,review_body-tfidf-df_95-ngram11-999-106-lda40.csv,0.14489795918367346,0.11359999999999999,0.2,250.0,RN,"{'n_jobs': 6, 'radius': 30}",0.0,0.0,success,2019-05-25 01:42:12,250.0,40.0,0.0,749.0,40.0,0.0,0.4115102040816326,0.32262399999999997,0.568,250.0,,
0.23076923076923075,0.5,0.15,40.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,18.0,0.052631578947368425,1.0,0.02702702702702703,37.0,0.7440633245382586,0.5949367088607594,0.9929577464788732,142.0,0.592,review_body-tfidf-df_95-ngram11-999-106-lda40,review_body-tfidf-df_95-ngram11-999-106-lda40.csv,0.20549282685097156,0.4189873417721519,0.23399695470118007,250.0,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-25 01:42:12,250.0,40.0,0.0,749.0,40.0,0.0,0.4673405189450183,0.5659240506329113,0.592,250.0,,
0.4050632911392405,0.41025641025641024,0.4,40.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,18.0,0.163265306122449,0.3333333333333333,0.10810810810810811,37.0,0.7485029940119761,0.6510416666666666,0.8802816901408451,142.0,0.58,review_body-tfidf-df_95-ngram12-999-114-lda40,review_body-tfidf-df_95-ngram12-999-114-lda40.csv,0.2633663182547331,0.278926282051282,0.27767795964979064,250.0,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.0,0.0,success,2019-05-25 01:42:12,250.0,40.0,0.0,749.0,40.0,0.0,0.5141230924872032,0.48476602564102556,0.58,250.0,,
0.0,0.0,0.0,40.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,37.0,0.7244897959183673,0.568,1.0,142.0,0.568,review_body-tfidf-df_95-ngram12-999-114-lda40,review_body-tfidf-df_95-ngram12-999-114-lda40.csv,0.14489795918367346,0.11359999999999999,0.2,250.0,RN,"{'n_jobs': 6, 'radius': 30}",0.0,0.0,success,2019-05-25 01:42:12,250.0,40.0,0.0,749.0,40.0,0.0,0.4115102040816326,0.32262399999999997,0.568,250.0,,
0.3508771929824561,0.5882352941176471,0.25,40.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,37.0,0.7573333333333334,0.6094420600858369,1.0,142.0,0.608,review_body-tfidf-df_95-ngram12-999-114-lda40,review_body-tfidf-df_95-ngram12-999-114-lda40.csv,0.22164210526315792,0.2395354708406968,0.25,250.0,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-25 01:42:13,250.0,40.0,0.01,749.0,40.0,0.01,0.48630568421052633,0.4402807371875789,0.608,250.0,,
0.4050632911392405,0.41025641025641024,0.4,40.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,18.0,0.163265306122449,0.3333333333333333,0.10810810810810811,37.0,0.7485029940119761,0.6510416666666666,0.8802816901408451,142.0,0.58,review_body-tfidf-df_95-ngram13-999-114-lda40,review_body-tfidf-df_95-ngram13-999-114-lda40.csv,0.2633663182547331,0.278926282051282,0.27767795964979064,250.0,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.0,0.0,success,2019-05-25 01:42:13,250.0,40.0,0.0,749.0,40.0,0.0,0.5141230924872032,0.48476602564102556,0.58,250.0,,
0.0,0.0,0.0,40.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,37.0,0.7244897959183673,0.568,1.0,142.0,0.568,review_body-tfidf-df_95-ngram13-999-114-lda40,review_body-tfidf-df_95-ngram13-999-114-lda40.csv,0.14489795918367346,0.11359999999999999,0.2,250.0,RN,"{'n_jobs': 6, 'radius': 30}",0.0,0.0,success,2019-05-25 01:42:13,250.0,40.0,0.0,749.0,40.0,0.0,0.4115102040816326,0.32262399999999997,0.568,250.0,,
0.3508771929824561,0.5882352941176471,0.25,40.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,37.0,0.7573333333333334,0.6094420600858369,1.0,142.0,0.608,review_body-tfidf-df_95-ngram13-999-114-lda40,review_body-tfidf-df_95-ngram13-999-114-lda40.csv,0.22164210526315792,0.2395354708406968,0.25,250.0,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-25 01:42:13,250.0,40.0,0.0,749.0,40.0,0.0,0.48630568421052633,0.4402807371875789,0.608,250.0,,
0.4730143985137018,0.37457701927320874,0.641633064516129,3968.0,0.11553784860557768,0.15249780893952672,0.09299839657936933,1871.0,0.12041884816753926,0.17843289371605897,0.09087317265902806,2531.0,0.16044019693020561,0.25719591457753016,0.11658249158249158,4752.0,0.7243884641010183,0.686470234515935,0.7667405467123379,14889.0,0.5326478883295848,review_body-bow-df_95-ngram1-112043-147,review_body-bow-df_95-ngram1-112043-147.csv,0.3187599512636085,0.32983477420445195,0.34176553440987123,28011.0,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",2.14,0.0,success,2019-05-25 01:44:35,28011.0,147.0,2.3600000000000003,84032.0,147.0,0.2,0.4978652747337776,0.48789079200233737,0.5326478883295848,28011.0,0.02,
,,,,,,,,,,,,,,,,,,,,,review_body-bow-df_95-ngram1-112043-147,review_body-bow-df_95-ngram1-112043-147.csv,,,,,RN,"{'n_jobs': 6, 'radius': 30}",,,failed,2019-05-25 01:47:51,,,,,,,,,,,0.02,"No neighbors found for test samples [2407, 3178, 4262, 11477, 13595, 13644, 13774, 16170, 20138, 24085], you can try using larger radius, give a label for outliers, or consider removing them from your dataset."
0.586708707252001,0.5654511453950444,0.6096270161290323,3968.0,0.053588516746411484,0.2557077625570776,0.029930518439337254,1871.0,0.11068458093410108,0.2907563025210084,0.06835242986961675,2531.0,0.13781223083548666,0.3798670465337132,0.08417508417508418,4752.0,0.7641409332063664,0.6422299460349401,0.9431795285109813,14889.0,0.6101531541180251,review_body-bow-df_95-ngram1-112043-147,review_body-bow-df_95-ngram1-112043-147.csv,0.33058699379487333,0.4268024406083567,0.3470529154248103,28011.0,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-25 01:48:05,28011.0,147.0,0.25,84032.0,147.0,0.23,0.5262448686227734,0.529268267537572,0.6101531541180251,28011.0,0.02,
0.4706102934283304,0.3746827884758919,0.6325604838709677,3968.0,0.11012199142762942,0.14371772805507746,0.08925708177445217,1871.0,0.12029288702928871,0.17788089713843774,0.09087317265902806,2531.0,0.1652868554829339,0.26676043131739335,0.11973905723905724,4752.0,0.7262202258564514,0.686378856732839,0.770971858418967,14889.0,0.5338973974510014,review_body-bow-df_95-ngram12-112043-157,review_body-bow-df_95-ngram12-112043-157.csv,0.3185064506449268,0.3298841403439279,0.34068033079249443,28011.0,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",1.95,0.0,success,2019-05-25 01:50:16,28011.0,157.0,2.16,84032.0,157.0,0.19,0.4989474587621808,0.4888434576429356,0.5338973974510014,28011.0,0.02,
,,,,,,,,,,,,,,,,,,,,,review_body-bow-df_95-ngram12-112043-157,review_body-bow-df_95-ngram12-112043-157.csv,,,,,RN,"{'n_jobs': 6, 'radius': 30}",,,failed,2019-05-25 01:53:24,,,,,,,,,,,0.02,"No neighbors found for test samples [2407, 3178, 4262, 11477, 13595, 13644, 13774, 16170, 20138, 24085], you can try using larger radius, give a label for outliers, or consider removing them from your dataset."
0.5885091265466128,0.5725864123957092,0.6053427419354839,3968.0,0.061214729794356756,0.2909090909090909,0.034206306787814,1871.0,0.11318327974276529,0.30397236614853196,0.06953773212169104,2531.0,0.14163530619226825,0.37842778793418647,0.08712121212121213,4752.0,0.7639356731500597,0.6413811978287643,0.9443884747128752,14889.0,0.6110813608939345,review_body-bow-df_95-ngram12-112043-157,review_body-bow-df_95-ngram12-112043-157.csv,0.33369562308521256,0.4374553710432566,0.3481192935358153,28011.0,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-25 01:53:46,28011.0,157.0,0.39,84032.0,157.0,0.37,0.5277745552521523,0.5331291762141567,0.6110813608939345,28011.0,0.02,
0.4706102934283304,0.3746827884758919,0.6325604838709677,3968.0,0.11012199142762942,0.14371772805507746,0.08925708177445217,1871.0,0.12029288702928871,0.17788089713843774,0.09087317265902806,2531.0,0.1652868554829339,0.26676043131739335,0.11973905723905724,4752.0,0.7262202258564514,0.686378856732839,0.770971858418967,14889.0,0.5338973974510014,review_body-bow-df_95-ngram13-112043-157,review_body-bow-df_95-ngram13-112043-157.csv,0.3185064506449268,0.3298841403439279,0.34068033079249443,28011.0,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",1.86,0.0,success,2019-05-25 01:55:51,28011.0,157.0,2.0700000000000003,84032.0,157.0,0.19,0.4989474587621808,0.4888434576429356,0.5338973974510014,28011.0,0.02,
,,,,,,,,,,,,,,,,,,,,,review_body-bow-df_95-ngram13-112043-157,review_body-bow-df_95-ngram13-112043-157.csv,,,,,RN,"{'n_jobs': 6, 'radius': 30}",,,failed,2019-05-25 01:58:55,,,,,,,,,,,0.02,"No neighbors found for test samples [2407, 3178, 4262, 11477, 13595, 13644, 13774, 16170, 20138, 24085], you can try using larger radius, give a label for outliers, or consider removing them from your dataset."
0.5885091265466128,0.5725864123957092,0.6053427419354839,3968.0,0.061214729794356756,0.2909090909090909,0.034206306787814,1871.0,0.11318327974276529,0.30397236614853196,0.06953773212169104,2531.0,0.14163530619226825,0.37842778793418647,0.08712121212121213,4752.0,0.7639356731500597,0.6413811978287643,0.9443884747128752,14889.0,0.6110813608939345,review_body-bow-df_95-ngram13-112043-157,review_body-bow-df_95-ngram13-112043-157.csv,0.33369562308521256,0.4374553710432566,0.3481192935358153,28011.0,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-25 01:59:17,28011.0,157.0,0.4,84032.0,157.0,0.38,0.5277745552521523,0.5331291762141567,0.6110813608939345,28011.0,0.02,
0.48314153038562485,0.40299764230380597,0.6030745967741935,3968.0,0.10752688172043011,0.15316205533596838,0.08284339925173703,1871.0,0.1360578121106404,0.18421052631578946,0.10786250493875939,2531.0,0.19454395150179113,0.2817238627294493,0.14856902356902357,4752.0,0.7293661222701958,0.6827153985825573,0.7828598294042581,14889.0,0.5420370568705152,review_body-tfidf-df_95-ngram11-112043-147,review_body-tfidf-df_95-ngram11-112043-147.csv,0.3301272595977364,0.3409618970535141,0.3450418707875943,28011.0,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",1.93,0.0,success,2019-05-25 02:01:36,28011.0,147.0,2.3099999999999996,84032.0,147.0,0.35,0.5086093235778292,0.4946484972862947,0.5420370568705152,28011.0,0.03,
0.0,0.0,0.0,3968.0,0.0,0.0,0.0,1871.0,0.0,0.0,0.0,2531.0,0.0,0.0,0.0,4752.0,0.6941258741258741,0.5315411802506158,1.0,14889.0,0.5315411802506158,review_body-tfidf-df_95-ngram11-112043-147,review_body-tfidf-df_95-ngram11-112043-147.csv,0.1388251748251748,0.10630823605012316,0.2,28011.0,RN,"{'n_jobs': 6, 'radius': 30}",6.88,0.0,success,2019-05-25 02:08:51,28011.0,147.0,7.2700000000000005,84032.0,147.0,0.36,0.36895648637535755,0.28253602630221764,0.5315411802506158,28011.0,0.03,
0.5944136657433057,0.5483390119250426,0.6489415322580645,3968.0,0.038980509745127435,0.3,0.02084446819882416,1871.0,0.14087898856110775,0.29582806573957016,0.09245357566179375,2531.0,0.19096279738144656,0.3957643944407677,0.12584175084175084,4752.0,0.7727831823772784,0.6618780826509602,0.9283363556988381,14889.0,0.6164721002463318,review_body-tfidf-df_95-ngram11-112043-147,review_body-tfidf-df_95-ngram11-112043-147.csv,0.34760382876165313,0.44036191095126814,0.36328353653185425,28011.0,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-25 02:09:06,28011.0,147.0,0.28,84032.0,147.0,0.25,0.5426994643183988,0.5434017067822675,0.6164721002463318,28011.0,0.03,
0.48787332130687516,0.40499168053244594,0.6134072580645161,3968.0,0.10974778459441036,0.15145813734713076,0.08605024051309461,1871.0,0.13283208020050125,0.181631254283756,0.10470169893322798,2531.0,0.18767351471404775,0.27569331158238175,0.14225589225589225,4752.0,0.731419977440782,0.6854995007928584,0.7839344482503862,14889.0,0.5429295633858127,review_body-tfidf-df_95-ngram12-112043-157,review_body-tfidf-df_95-ngram12-112043-157.csv,0.3299093356513233,0.3398547769077146,0.3460699076034234,28011.0,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",2.03,0.0,success,2019-05-25 02:11:31,28011.0,157.0,2.4099999999999997,84032.0,157.0,0.35,0.5090626548479615,0.4950408965001521,0.5429295633858127,28011.0,0.03,
0.0,0.0,0.0,3968.0,0.0,0.0,0.0,1871.0,0.0,0.0,0.0,2531.0,0.0,0.0,0.0,4752.0,0.6941258741258741,0.5315411802506158,1.0,14889.0,0.5315411802506158,review_body-tfidf-df_95-ngram12-112043-157,review_body-tfidf-df_95-ngram12-112043-157.csv,0.1388251748251748,0.10630823605012316,0.2,28011.0,RN,"{'n_jobs': 6, 'radius': 30}",6.9,0.0,success,2019-05-25 02:18:46,28011.0,157.0,7.290000000000001,84032.0,157.0,0.36,0.36895648637535755,0.28253602630221764,0.5315411802506158,28011.0,0.03,
0.5966493356441364,0.5508854277789631,0.6507056451612904,3968.0,0.03792415169660678,0.2857142857142857,0.020309994655264563,1871.0,0.13999999999999999,0.30039011703511054,0.09126827340971948,2531.0,0.19598545914335386,0.39365079365079364,0.13047138047138046,4752.0,0.7735057085292142,0.6629730896531875,0.928269192020955,14889.0,0.6173289065010175,review_body-tfidf-df_95-ngram12-112043-157,review_body-tfidf-df_95-ngram12-112043-157.csv,0.34881293100266225,0.43872274276646805,0.36420489714372195,28011.0,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-25 02:19:11,28011.0,157.0,0.43999999999999995,84032.0,157.0,0.41,0.5441023186534208,0.5434439004494341,0.6173289065010175,28011.0,0.03,
0.48787332130687516,0.40499168053244594,0.6134072580645161,3968.0,0.10974778459441036,0.15145813734713076,0.08605024051309461,1871.0,0.13283208020050125,0.181631254283756,0.10470169893322798,2531.0,0.18767351471404775,0.27569331158238175,0.14225589225589225,4752.0,0.731419977440782,0.6854995007928584,0.7839344482503862,14889.0,0.5429295633858127,review_body-tfidf-df_95-ngram13-112043-157,review_body-tfidf-df_95-ngram13-112043-157.csv,0.3299093356513233,0.3398547769077146,0.3460699076034234,28011.0,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",2.17,0.0,success,2019-05-25 02:21:48,28011.0,157.0,2.62,84032.0,157.0,0.41,0.5090626548479615,0.4950408965001521,0.5429295633858127,28011.0,0.04,
0.0,0.0,0.0,3968.0,0.0,0.0,0.0,1871.0,0.0,0.0,0.0,2531.0,0.0,0.0,0.0,4752.0,0.6941258741258741,0.5315411802506158,1.0,14889.0,0.5315411802506158,review_body-tfidf-df_95-ngram13-112043-157,review_body-tfidf-df_95-ngram13-112043-157.csv,0.1388251748251748,0.10630823605012316,0.2,28011.0,RN,"{'n_jobs': 6, 'radius': 30}",6.15,0.0,success,2019-05-25 02:28:22,28011.0,157.0,6.6000000000000005,84032.0,157.0,0.41,0.36895648637535755,0.28253602630221764,0.5315411802506158,28011.0,0.04,
0.5966493356441364,0.5508854277789631,0.6507056451612904,3968.0,0.03792415169660678,0.2857142857142857,0.020309994655264563,1871.0,0.13999999999999999,0.30039011703511054,0.09126827340971948,2531.0,0.19598545914335386,0.39365079365079364,0.13047138047138046,4752.0,0.7735057085292142,0.6629730896531875,0.928269192020955,14889.0,0.6173289065010175,review_body-tfidf-df_95-ngram13-112043-157,review_body-tfidf-df_95-ngram13-112043-157.csv,0.34881293100266225,0.43872274276646805,0.36420489714372195,28011.0,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0.0,0.0,success,2019-05-25 02:28:46,28011.0,157.0,0.44999999999999996,84032.0,157.0,0.41,0.5441023186534208,0.5434439004494341,0.6173289065010175,28011.0,0.04,
