1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,description,file,file_load_time_min,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,message,model_name,param,predict_time_min,smote_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0.40740740740740733,0.5238095238095238,0.3333333333333333,33.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,24.0,0.14814814814814814,0.2222222222222222,0.1111111111111111,36.0,0.7185628742514971,0.6091370558375635,0.8759124087591241,137.0,0.5443548387096774,review_body-bow-df_default-ngram11-992-3342-lda20-smote,review_body-bow-df_default-ngram11-992-3342-lda20.csv,0.01,0.25482368596141053,0.2710337603738619,0.26407137064071373,248.0,,RF,"{'n_jobs': -1, 'verbose': 1}",0.0,0.01,success,2019-06-01 16:57:51,248.0,3342.0,0.07,963.0,3342.0,0.0,0.4726648852831971,0.43845762473976,0.5443548387096774,248.0
0.4912280701754386,0.5833333333333334,0.42424242424242425,33.0,0.09523809523809525,0.3333333333333333,0.05555555555555555,18.0,0.06060606060606061,0.1111111111111111,0.041666666666666664,24.0,0.041666666666666664,0.08333333333333333,0.027777777777777776,36.0,0.771513353115727,0.65,0.948905109489051,137.0,0.592741935483871,review_body-bow-df_default-ngram11-992-3342-lda20-smote,review_body-bow-df_default-ngram11-992-3342-lda20.csv,0.01,0.29205044916039763,0.3522222222222222,0.29962950674629507,248.0,,GB,,0.0,0.01,success,2019-06-01 16:58:45,248.0,3342.0,2.2300000000000004,963.0,3342.0,1.08,0.5103898663769163,0.48373655913978497,0.592741935483871,248.0
0.4444444444444445,0.4666666666666667,0.42424242424242425,33.0,0.14285714285714285,0.2,0.1111111111111111,18.0,0.17142857142857143,0.2727272727272727,0.125,24.0,0.10169491525423728,0.13043478260869565,0.08333333333333333,36.0,0.7395498392282959,0.6609195402298851,0.8394160583941606,137.0,0.5524193548387096,review_body-bow-df_default-ngram11-992-3342-lda20-smote,review_body-bow-df_default-ngram11-992-3342-lda20.csv,0.01,0.31999498264253834,0.34614965244650403,0.31662058541620586,248.0,,lGBM,,0.02,0.01,success,2019-06-01 16:58:48,248.0,3342.0,0.18999999999999997,963.0,3342.0,0.05,0.5094021204669759,0.48704469246315263,0.5524193548387096,248.0
0.4666666666666667,0.5185185185185185,0.42424242424242425,33.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,24.0,0.04,0.07142857142857142,0.027777777777777776,36.0,0.7655786350148367,0.645,0.9416058394160584,137.0,0.5806451612903226,review_body-bow-df_default-ngram11-992-3342-lda20-smote,review_body-bow-df_default-ngram11-992-3342-lda20.csv,0.01,0.25444906033630066,0.24698941798941795,0.2787252082872521,248.0,,XGB,"{'n_jobs': -1, 'verbosity': 1, 'seed': 1}",0.0,0.01,success,2019-06-01 16:59:28,248.0,3342.0,1.6500000000000001,963.0,3342.0,0.79,0.4908236814396477,0.43567556323604717,0.5806451612903226,248.0
0.5245901639344263,0.5714285714285714,0.48484848484848486,33.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,36.0,0.7647058823529411,0.6403940886699507,0.948905109489051,137.0,0.5887096774193549,review_body-bow-df_default-ngram11-992-3342-lda20-smote,review_body-bow-df_default-ngram11-992-3342-lda20.csv,0.01,0.2578592092574735,0.24236453201970445,0.2867507188675072,248.0,,CB,{'random_seed': 1},0.01,0.01,success,2019-06-01 17:03:19,248.0,3342.0,9.339999999999998,963.0,3342.0,4.63,0.49224266650076204,0.42980295566502463,0.5887096774193549,248.0
0.46874999999999994,0.4838709677419355,0.45454545454545453,33.0,0.08,0.14285714285714285,0.05555555555555555,18.0,0.09523809523809525,0.1111111111111111,0.08333333333333333,24.0,0.034482758620689655,0.045454545454545456,0.027777777777777776,36.0,0.762214983713355,0.6882352941176471,0.8540145985401459,137.0,0.5483870967741935,review_body-bow-df_default-ngram11-992-3342-lda20-smote,review_body-bow-df_default-ngram11-992-3342-lda20.csv,0.01,0.28813716751442797,0.2943058122564764,0.29504534395045345,248.0,,LR100,"{'n_jobs': -1, 'c': 1, 'max_iter': 100, 'verbose': 1}",0.0,0.01,success,2019-06-01 17:03:23,248.0,3342.0,0.19,963.0,3342.0,0.06,0.5034649046967289,0.4723001455808886,0.5483870967741935,248.0
0.5074626865671642,0.5,0.5151515151515151,33.0,0.07692307692307691,0.125,0.05555555555555555,18.0,0.13333333333333333,0.14285714285714285,0.125,24.0,0.16901408450704225,0.17142857142857143,0.16666666666666666,36.0,0.7456445993031359,0.7133333333333334,0.781021897810219,137.0,0.5403225806451613,review_body-bow-df_default-ngram11-992-3342-lda20-smote,review_body-bow-df_default-ngram11-992-3342-lda20.csv,0.01,0.3264755561267505,0.33052380952380955,0.3286791270367913,248.0,,LRB100,"{'n_jobs': -1, 'c': 1, 'class_weight': 'balanced', 'max_iter': 100, 'verbose': 1}",0.0,0.01,success,2019-06-01 17:03:25,248.0,3342.0,0.15,963.0,3342.0,0.04,0.5224544402746569,0.5083736559139785,0.5403225806451613,248.0
0.35616438356164376,0.325,0.3939393939393939,33.0,0.07407407407407407,0.1111111111111111,0.05555555555555555,18.0,0.2,0.19230769230769232,0.20833333333333334,24.0,0.14285714285714285,0.11290322580645161,0.19444444444444445,36.0,0.6693548387096774,0.7477477477477478,0.6058394160583942,137.0,0.43951612903225806,review_body-bow-df_default-ngram11-992-3342-lda20-smote,review_body-bow-df_default-ngram11-992-3342-lda20.csv,0.01,0.28849008784050756,0.29781395539460054,0.2916224286662243,248.0,,KNN,"{'n_jobs': -1, 'n_neighbors': 5}",0.01,0.01,success,2019-06-01 17:03:25,248.0,3342.0,0.08,963.0,3342.0,0.0,0.46262591950383275,0.49938041203975125,0.43951612903225806,248.0
0.40740740740740733,0.5238095238095238,0.3333333333333333,33.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,24.0,0.14814814814814814,0.2222222222222222,0.1111111111111111,36.0,0.7185628742514971,0.6091370558375635,0.8759124087591241,137.0,0.5443548387096774,review_body-bow-df_default-ngram11-992-3342-lda20-smote,review_body-bow-df_default-ngram11-992-3342-lda20.csv,0.01,0.25482368596141053,0.2710337603738619,0.26407137064071373,248.0,,RF,"{'n_jobs': -1, 'verbose': 1}",0.0,0.01,success,2019-06-01 17:03:27,248.0,3342.0,0.10999999999999999,963.0,3342.0,0.0,0.4726648852831971,0.43845762473976,0.5443548387096774,248.0
0.5084745762711863,0.5769230769230769,0.45454545454545453,33.0,0.0909090909090909,0.25,0.05555555555555555,18.0,0.0,0.0,0.0,24.0,0.04081632653061225,0.07692307692307693,0.027777777777777776,36.0,0.764179104477612,0.6464646464646465,0.9343065693430657,137.0,0.5846774193548387,review_body-bow-df_default-ngram11-992-3342-lda20-smote,review_body-bow-df_default-ngram11-992-3342-lda20.csv,0.01,0.28087581963770025,0.3100621600621601,0.2944370714443707,248.0,,GB,,0.0,0.01,success,2019-06-01 17:04:17,248.0,3342.0,4.289999999999999,963.0,3342.0,1.01,0.502330442426805,0.4631989873925358,0.5846774193548387,248.0
