1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,auc_1,auc_2,auc_3,auc_4,auc_5,auc_macro,auc_micro,confusion_matrix,description,embedding,file,fpr,loss,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,max_sequence_length,model_file,model_name,network_history_file,status,status_date,test_examples,test_features,tokenizer_file,tpr,train_examples,train_features,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0.699891918,0.66850195,0.734375,3968,0.208247423,0.291626564,0.161945484,1871,0.309842041,0.317823016,0.302252074,2531,0.349921677,0.409360023,0.305555556,4752.0,0.826930392,0.78300018,0.8760830140000001,14889.0,0.659669416,0.944717212,0.8479034390000001,0.8096648340000001,0.731212497,0.872640546,0.841251095,0.899639647,"[[ 2914   352   369    86   247],,,,,,,,,,,,,,,,,,,,,,,,,
 [  721   303   466   167   214],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  395   252   765   557   562],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  139    77   492  1452  2592],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 [  190    55   315  1285 13044]]",amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_3layer_with_pooling_early_stop-186-star_rating,300,drive/My Drive/Springboard/capstone/data/amazon_reviews_us_Wireless_v1_00-preprocessed-110k.csv,"{0: array([0.       ,0.0, 0.       , ..., 0.9772491, 0.9772491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.       ]), 1: array([0.00000000e+00, 0.00000000e+00, 3.82555471e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.66143841e-01, 9.66143841e-01, 1.00000000e+00]), 2: array([0.00000000e+00, 0.00000000e+00,7.849293559999999e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.90659341e-01, 9.90659341e-01, 1.00000000e+00]), 3: array([0.        , 0.        ,0.0, ..., 0.97785803, 0.97785803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]), 4: array([0.        , 0.        , 0.        , ...,0.99961896, 0.99961896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ]),' ''micro'': array([0.       ', 0.       , 0.       , ...,0.9937346, 0.9937346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.       ]),' ''macro'': array([0.00000000e+00', 3.82555471e-05, 4.15921474e-05, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.90659341e-01, 9.99618961e-01, 1.00000000e+00])}",1.011367849,0.47896669,0.494062347,0.476042226,28011,186,drive/My Drive/Springboard/capstone/models/2019-07-25-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_3layer_with_pooling_early_stop-186-star_rating.h5,CNN_3layer_with_pooling_early_stop,drive/My Drive/Springboard/capstone/models/2019-07-25-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_3layer_with_pooling_early_stop-186-star_rating-history.pkl,success,7/25/19 18:13,28011.0,186.0,drive/My Drive/Springboard/capstone/models/2019-07-25-amazon_reviews_us_Wireless_v1_00-preprocessed-110k-nosmote-CNN_3layer_with_pooling_early_stop-186-star_rating-tokenizer.pkl,"{0: array([0.00000000e+00,0.000252016129,0.00226814516, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99747984e-01, 1.00000000e+00, 1.00000000e+00]), 1: array([0.00000000e+00, 5.34473544e-04,0.0005344735439999999, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99465526e-01, 1.00000000e+00, 1.00000000e+00]), 2: array([0.00000000e+00, 3.95100751e-04,0.000395100751, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99604899e-01, 1.00000000e+00, 1.00000000e+00]), 3: array([0.00000000e+00, 2.10437710e-04,0.00189393939, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99789562e-01, 1.00000000e+00, 1.00000000e+00]), 4: array([0.00000000e+00, 6.71636779e-05,0.0005373094230000001, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99932836e-01, 1.00000000e+00, 1.00000000e+00]),' ''micro'': array([0.00000000e+00', 3.57002606e-05,0.000321302346, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       9.99964300e-01, 1.00000000e+00, 1.00000000e+00]),' ''macro'': array([0.00112579', 0.00123269,0.00219035, ..., 0.99998657, 1.        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       1.        ])}",84032,186,0.63996311,0.628539774,0.6596694160000001,28011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
