1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,description,file,file_load_time_min,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_name,parm,predict_time_min,score_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0.4962714392244593,0.3884430176565008,0.6869677419354838,3875.0,0.08446455505279035,0.14640522875816994,0.059353471118177,1887.0,0.11659451659451658,0.22320441988950276,0.07890625,2560.0,0.12201849748499106,0.24639580602883354,0.08108690963985335,4637.0,0.7518514022095422,0.6908360756316582,0.8246887276116919,15019.0,0.5625134033883766,review_body-bow-df_default-ngram11-111909-10000,review_body-bow-df_default-ngram11-111909-10000.csv,5.38,0.3142400821132599,0.33905690959293305,0.3462006200610412,27978.0,KNN,"{'n_jobs': 2, 'n_neighbors': 5}",244.9,0.0,success,2019-05-28 03:52:24,27978.0,10000.0,253.84,83931.0,10000.0,3.56,0.508927528325269,0.4957856547097831,0.5625134033883766,27978.0
0.6823529411764705,0.6437070938215103,0.7259354838709677,3875.0,0.19018612521150594,0.2631086142322097,0.1489136195018548,1887.0,0.27873761806035474,0.33969679955081417,0.236328125,2560.0,0.3110215053763441,0.41277202996789153,0.24951477248220832,4637.0,0.8197725549658832,0.7527288928491869,0.8999267594380451,15019.0,0.6566588033454858,review_body-bow-df_default-ngram11-111909-10000,review_body-bow-df_default-ngram11-111909-10000.csv,5.38,0.4564141489581116,0.4824026860843225,0.4521237520586152,27978.0,LR,"{'n_jobs': 2, 'c': 1, 'max_iter': 300, 'verbose': 1}",0.05,0.0,success,2019-05-28 05:28:41,27978.0,10000.0,101.64999999999999,83931.0,10000.0,96.22,0.6244527089509668,0.6104701513734959,0.6566588033454858,27978.0
0.6823529411764705,0.6437070938215103,0.7259354838709677,3875.0,0.19018612521150594,0.2631086142322097,0.1489136195018548,1887.0,0.27873761806035474,0.33969679955081417,0.236328125,2560.0,0.3110215053763441,0.41277202996789153,0.24951477248220832,4637.0,0.8197725549658832,0.7527288928491869,0.8999267594380451,15019.0,0.6566588033454858,review_body-bow-df_default-ngram11-111909-10000,review_body-bow-df_default-ngram11-111909-10000.csv,5.38,0.4564141489581116,0.4824026860843225,0.4521237520586152,27978.0,LRB,"{'n_jobs': 2, 'c': 1, 'class_weight': 'balanced', 'max_iter': 300, 'verbose': 1}",0.06,0.0,success,2019-05-28 08:27:05,27978.0,10000.0,183.78,83931.0,10000.0,178.34,0.6244527089509668,0.6104701513734959,0.6566588033454858,27978.0
0.6114420591210521,0.5416168857029072,0.7019354838709677,3875.0,0.10484824595979503,0.20461538461538462,0.07048224695283518,1887.0,0.18259023354564755,0.2847682119205298,0.134375,2560.0,0.225443287362792,0.3244228432563791,0.17274099633383652,4637.0,0.7824536376604851,0.7066401846583285,0.8764897796124909,15019.0,0.6134105368503825,review_body-bow-df_default-ngram11-111909-10000,review_body-bow-df_default-ngram11-111909-10000.csv,5.38,0.3813554927299544,0.4124127020307059,0.3912047013540261,27978.0,RF,"{'n_jobs': 2, 'verbose': 1}",0.04,0.0,success,2019-05-28 08:27:49,27978.0,10000.0,6.109999999999999,83931.0,10000.0,0.69,0.565861366953362,0.5479755144380519,0.6134105368503825,27978.0
0.5894462540716612,0.5952631578947368,0.583741935483871,3875.0,0.033049574361542315,0.3,0.017488076311605722,1887.0,0.12487545665891732,0.41685144124168516,0.0734375,2560.0,0.2139230139230139,0.44482288828337874,0.14082380849687298,4637.0,0.7715777012483857,0.6473881439342634,0.9547240162460883,15019.0,0.6245978983487026,review_body-bow-df_default-ngram11-111909-10000,review_body-bow-df_default-ngram11-111909-10000.csv,5.38,0.34657440005270407,0.48086512627081285,0.3540430673076876,27978.0,GB,{'verbose': 1},0.13,0.0,success,2019-05-28 10:11:52,27978.0,10000.0,109.44,83931.0,10000.0,103.93,0.5449437579886076,0.562072009905624,0.6245978983487026,27978.0
0.5031038636153061,0.3924544666088465,0.7006451612903226,3875.0,0.08711566617862371,0.1408284023668639,0.06306306306306306,1887.0,0.12661064425770308,0.22376237623762377,0.08828125,2560.0,0.13434487118697644,0.2514792899408284,0.09165408669398317,4637.0,0.7564394172250568,0.702540679417642,0.8192955589586524,15019.0,0.5643720065765959,review_body-bow-df_default-ngram11-111909-10020-lda20,review_body-bow-df_default-ngram11-111909-10020-lda20.csv,5.95,0.32152289249273325,0.3422130429143609,0.35258782400120425,27978.0,KNN,"{'n_jobs': 2, 'n_neighbors': 5}",246.65,0.0,success,2019-05-28 14:29:22,27978.0,10020.0,256.6,83931.0,10020.0,4.0,0.5154749716879418,0.5031418924931395,0.5643720065765959,27978.0
0.680067001675042,0.6339504795895605,0.7334193548387097,3875.0,0.19143239625167335,0.259763851044505,0.15156332803391626,1887.0,0.28440156214105217,0.3452314556609035,0.241796875,2560.0,0.3158593231585933,0.4106280193236715,0.2566314427431529,4637.0,0.8220768901656378,0.7597582330678416,0.8955323257207537,15019.0,0.657194938880549,review_body-bow-df_default-ngram11-111909-10020-lda20,review_body-bow-df_default-ngram11-111909-10020-lda20.csv,5.95,0.4587674346783997,0.4818664077372965,0.4557886652673065,27978.0,LR,"{'n_jobs': 2, 'c': 1, 'max_iter': 300, 'verbose': 1}",0.06,0.0,success,2019-05-28 17:36:00,27978.0,10020.0,192.57,83931.0,10020.0,186.56,0.626777219857849,0.6128177871853677,0.657194938880549,27978.0
0.680067001675042,0.6339504795895605,0.7334193548387097,3875.0,0.19143239625167335,0.259763851044505,0.15156332803391626,1887.0,0.28440156214105217,0.3452314556609035,0.241796875,2560.0,0.3158593231585933,0.4106280193236715,0.2566314427431529,4637.0,0.8220768901656378,0.7597582330678416,0.8955323257207537,15019.0,0.657194938880549,review_body-bow-df_default-ngram11-111909-10020-lda20,review_body-bow-df_default-ngram11-111909-10020-lda20.csv,5.95,0.4587674346783997,0.4818664077372965,0.4557886652673065,27978.0,LRB,"{'n_jobs': 2, 'c': 1, 'class_weight': 'balanced', 'max_iter': 300, 'verbose': 1}",0.07,0.0,success,2019-05-28 19:55:55,27978.0,10020.0,145.86999999999998,83931.0,10020.0,139.85,0.626777219857849,0.6128177871853677,0.657194938880549,27978.0
0.5989521314598714,0.5560468715454344,0.6490322580645161,3875.0,0.07052896725440806,0.1696969696969697,0.04451510333863275,1887.0,0.1405073877892389,0.2453748782862707,0.0984375,2560.0,0.19419775014801657,0.30957999056158564,0.14147077852059523,4637.0,0.7801797146384176,0.6857777329161199,0.9047206871296358,15019.0,0.6110157981270998,review_body-bow-df_default-ngram11-111909-10020-lda20,review_body-bow-df_default-ngram11-111909-10020-lda20.csv,5.95,0.35687319025799047,0.39329528860127605,0.3676352654106759,27978.0,RF,"{'n_jobs': 2, 'verbose': 1}",0.07,0.0,success,2019-05-28 19:56:47,27978.0,10020.0,6.800000000000001,83931.0,10020.0,0.78,0.551566969938783,0.5303551963818312,0.6110157981270998,27978.0
0.6274651274651275,0.5874802972303536,0.6732903225806451,3875.0,0.0463739516526887,0.3357142857142857,0.02490726020137785,1887.0,0.1712723959914971,0.38472032742155526,0.11015625,2560.0,0.23649818926153363,0.4381563593932322,0.16195816260513263,4637.0,0.7863437960465957,0.675035799522673,0.9416072974232639,15019.0,0.6373221817142041,review_body-bow-df_default-ngram11-111909-10020-lda20,review_body-bow-df_default-ngram11-111909-10020-lda20.csv,5.95,0.3735906920834885,0.48422141385642004,0.3823838585620839,27978.0,GB,{'verbose': 1},0.15,0.0,success,2019-05-28 21:44:24,27978.0,10020.0,113.57000000000001,83931.0,10020.0,107.47,0.5670216572258123,0.5741996125043642,0.6373221817142041,27978.0
