1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,dataset,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_name,param,predict_time_min,score_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0.3516295025728988,0.4939759036144578,0.2729693741677763,751.0,0.02475247524752475,0.15151515151515152,0.013477088948787063,371.0,0.0,0.0,0.0,538.0,0.3727329580988118,0.42450142450142453,0.33221850613154963,897.0,0.7587678357114283,0.6390386343216532,0.9337052838857893,3047.0,0.5983226266952177,BOW90,0.30157655432613273,0.3418062227905374,0.31047405062678046,5604.0,KNN,"{'n_jobs': 6, 'n_neighbors': 5, 'min_df': 0.05, 'max_df': 0.95}",0.0,0.0,success,2019-05-19 01:39:12,5604.0,6.0,0.0,16810.0,6.0,0.0,0.5209785837930826,0.49163392601399614,0.5983226266952177,5604.0
0.3516295025728988,0.4939759036144578,0.2729693741677763,751.0,0.02475247524752475,0.15151515151515152,0.013477088948787063,371.0,0.0,0.0,0.0,538.0,0.3727329580988118,0.42450142450142453,0.33221850613154963,897.0,0.7587678357114283,0.6390386343216532,0.9337052838857893,3047.0,0.5983226266952177,BOW90,0.30157655432613273,0.3418062227905374,0.31047405062678046,5604.0,RN,"{'n_jobs': 6, 'radius': 30.0, 'min_df': 0.05, 'max_df': 0.95}",0.0,0.0,success,2019-05-19 01:39:13,5604.0,6.0,0.0,16810.0,6.0,0.0,0.5209785837930826,0.49163392601399614,0.5983226266952177,5604.0
0.3394898856640281,0.5,0.2569906790945406,751.0,0.0,0.0,0.0,371.0,0.01763668430335097,0.1724137931034483,0.00929368029739777,538.0,0.27244094488188975,0.46380697050938335,0.19286510590858416,897.0,0.7615413964135825,0.6216777408637874,0.982605841811618,3047.0,0.6004639543183441,BOW90,0.27822178225257027,0.3515797008953238,0.2883510614224281,5604.0,LR,"{'n_jobs': 6, 'c': 1.0, 'max_iter': 500, 'min_df': 0.05, 'max_df': 0.95}",0.0,0.0,success,2019-05-19 01:39:14,5604.0,6.0,0.0,16810.0,6.0,0.0,0.5048610997002372,0.49581469479809637,0.6004639543183441,5604.0
0.36660617059891104,0.22762395363811977,0.9414114513981359,751.0,0.0,0.0,0.0,371.0,0.05084745762711865,0.28846153846153844,0.027881040892193308,538.0,0.2736674622116149,0.4777777777777778,0.19175027870680045,897.0,0.6297523883798012,0.7756964457252642,0.5300295372497539,3047.0,0.44771591720199855,TFIDF90,0.2641746957634892,0.3539119431205401,0.3382144616493767,5604.0,KNN,"{'n_jobs': 6, 'n_neighbors': 5, 'min_df': 0.05, 'max_df': 0.95}",0.0,0.0,success,2019-05-19 01:39:16,5604.0,7.0,0.0,16810.0,7.0,0.0,0.4402234845325205,0.5564331965856678,0.44771591720199855,5604.0
0.36660617059891104,0.22762395363811977,0.9414114513981359,751.0,0.0,0.0,0.0,371.0,0.05084745762711865,0.28846153846153844,0.027881040892193308,538.0,0.2736674622116149,0.4777777777777778,0.19175027870680045,897.0,0.6297523883798012,0.7756964457252642,0.5300295372497539,3047.0,0.44771591720199855,TFIDF90,0.2641746957634892,0.3539119431205401,0.3382144616493767,5604.0,RN,"{'n_jobs': 6, 'radius': 30.0, 'min_df': 0.05, 'max_df': 0.95}",0.0,0.0,success,2019-05-19 01:39:17,5604.0,7.0,0.0,16810.0,7.0,0.0,0.4402234845325205,0.5564331965856678,0.44771591720199855,5604.0
0.3394898856640281,0.5,0.2569906790945406,751.0,0.0,0.0,0.0,371.0,0.0,0.0,0.0,538.0,0.26976744186046514,0.44274809160305345,0.1939799331103679,897.0,0.7627032520325204,0.6221761658031089,0.9852313751230719,3047.0,0.6011777301927195,TFIDF90,0.2743921159114027,0.31298485148123245,0.28724039746559604,5604.0,LR,"{'n_jobs': 6, 'c': 1.0, 'max_iter': 500, 'min_df': 0.05, 'max_df': 0.95}",0.0,0.0,success,2019-05-19 01:39:18,5604.0,7.0,0.0,16810.0,7.0,0.0,0.5033717181344775,0.4761627079532498,0.6011777301927195,5604.0
0.6560182544209926,0.5738522954091816,0.7656458055925432,751.0,0.3373083475298126,0.4583333333333333,0.2668463611859838,371.0,0.42553191489361697,0.5844155844155844,0.3345724907063197,538.0,0.4023054755043228,0.41646778042959426,0.3890746934225195,897.0,0.7937012883728327,0.7700617283950617,0.8188382015096817,3047.0,0.6598857958600999,BOW,0.5229730561443156,0.560626144396551,0.5149955104834095,5604.0,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",2.9,0.0,success,2019-05-19 01:42:30,5604.0,5646.0,3.1,16810.0,5646.0,0.2,0.6470419545710011,0.6487098519628204,0.6598857958600999,5604.0
0.6560182544209926,0.5738522954091816,0.7656458055925432,751.0,0.3373083475298126,0.4583333333333333,0.2668463611859838,371.0,0.42553191489361697,0.5844155844155844,0.3345724907063197,538.0,0.4023054755043228,0.41646778042959426,0.3890746934225195,897.0,0.7937012883728327,0.7700617283950617,0.8188382015096817,3047.0,0.6598857958600999,BOW,0.5229730561443156,0.560626144396551,0.5149955104834095,5604.0,RN,"{'n_jobs': 6, 'radius': 30.0}",2.9,0.0,success,2019-05-19 01:45:34,5604.0,5646.0,3.1,16810.0,5646.0,0.2,0.6470419545710011,0.6487098519628204,0.6598857958600999,5604.0
0.7077309868007543,0.6702380952380952,0.7496671105193076,751.0,0.36396396396396397,0.5489130434782609,0.2722371967654987,371.0,0.4397163120567376,0.6038961038961039,0.34572490706319703,538.0,0.3852813852813853,0.5460122699386503,0.2976588628762542,897.0,0.8313323572474378,0.7504625958234206,0.9317361339021989,3047.0,0.7059243397573162,BOW,0.5456050010700558,0.6239044216749061,0.5194048422252913,5604.0,LR,"{'n_jobs': 6, 'c': 1.0, 'max_iter': 500}",0.0,0.0,success,2019-05-19 01:50:02,5604.0,5646.0,4.5,16810.0,5646.0,4.5,0.6748342385322748,0.6795724818271377,0.7059243397573162,5604.0
0.4864104967197751,0.3752711496746204,0.6910785619174434,751.0,0.33969465648854963,0.5816993464052288,0.2398921832884097,371.0,0.3942558746736292,0.6622807017543859,0.28066914498141265,538.0,0.3715302491103203,0.5137795275590551,0.2909698996655518,897.0,0.742749647280138,0.710984393757503,0.7774860518542829,3047.0,0.6047466095645967,TFIDF,0.4669281848544825,0.5688030238301586,0.45601916834142014,5604.0,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",29.3,0.0,success,2019-05-19 02:21:45,5604.0,49228.0,30.7,16810.0,49228.0,1.4,0.5888385920561658,0.6211948237804111,0.6047466095645967,5604.0
