data_dir,data_file,class_column,dtype,drop_columns,model_name,max_iter,sampling,status,status_date,message
../dataset/feature_files,review_body-bow-df_default-ngram11-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LR,100,,success,2019-11-02 12:02:43,
../dataset/feature_files,review_body-bow-df_default-ngram11-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB,,,success,2019-11-02 12:10:53,
../dataset/feature_files,review_body-bow-df_default-ngram11-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DT,,,success,2019-11-02 12:13:51,
../dataset/feature_files,review_body-bow-df_default-ngram11-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DTB,,,success,2019-11-02 12:16:40,
../dataset/feature_files,review_body-tfidf-df_default-ngram11-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LR,100,,success,2019-11-02 12:26:08,
../dataset/feature_files,review_body-tfidf-df_default-ngram11-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB,,,success,2019-11-02 12:35:47,
../dataset/feature_files,review_body-tfidf-df_default-ngram11-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DT,,,success,2019-11-02 12:40:12,
../dataset/feature_files,review_body-tfidf-df_default-ngram11-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DTB,,,success,2019-11-02 12:43:54,
../dataset/feature_files,review_body-word2vec-df_none-ngram_none-47523-100-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LR,100,,success,2019-11-02 12:43:58,
../dataset/feature_files,review_body-word2vec-df_none-ngram_none-47523-100-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB,,,success,2019-11-02 12:44:01,
../dataset/feature_files,review_body-word2vec-df_none-ngram_none-47523-100-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DT,,,success,2019-11-02 12:44:13,
../dataset/feature_files,review_body-word2vec-df_none-ngram_none-47523-100-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DTB,,,success,2019-11-02 12:44:20,
../dataset/feature_files,review_body-fasttext-df_none-ngram_none-47523-100-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LR,100,,success,2019-11-02 12:44:23,
../dataset/feature_files,review_body-fasttext-df_none-ngram_none-47523-100-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB,,,success,2019-11-02 12:44:26,
../dataset/feature_files,review_body-fasttext-df_none-ngram_none-47523-100-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DT,,,success,2019-11-02 12:44:35,
../dataset/feature_files,review_body-fasttext-df_none-ngram_none-47523-100-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DTB,,,success,2019-11-02 12:44:44,
../dataset/feature_files,review_body-word2vec_pretrained-df_none-ngram_none-47542-300-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LR,100,,success,2019-11-02 12:44:53,
../dataset/feature_files,review_body-word2vec_pretrained-df_none-ngram_none-47542-300-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB,,,success,2019-11-02 12:45:02,
../dataset/feature_files,review_body-word2vec_pretrained-df_none-ngram_none-47542-300-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DT,,,success,2019-11-02 12:45:28,
../dataset/feature_files,review_body-word2vec_pretrained-df_none-ngram_none-47542-300-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DTB,,,success,2019-11-02 12:45:46,
../dataset/feature_files,review_body-bow-df_default-ngram22-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LR,100,,success,2019-11-02 13:35:27,
../dataset/feature_files,review_body-bow-df_default-ngram22-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB,,,success,2019-11-02 13:44:13,
../dataset/feature_files,review_body-bow-df_default-ngram22-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DT,,,success,2019-11-02 13:55:58,
../dataset/feature_files,review_body-bow-df_default-ngram22-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DTB,,,success,2019-11-02 14:06:01,
../dataset/feature_files,review_body-tfidf-df_default-ngram22-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LR,100,,success,2019-11-02 14:15:25,
../dataset/feature_files,review_body-tfidf-df_default-ngram22-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB,,,success,2019-11-02 14:25:43,
../dataset/feature_files,review_body-tfidf-df_default-ngram22-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DT,,,success,2019-11-02 14:42:10,
../dataset/feature_files,review_body-tfidf-df_default-ngram22-49784-10000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DTB,,,success,2019-11-02 14:55:35,
../dataset/feature_files,review_body-fasttext-df_none-ngram_none-47523-300-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LR,100,,success,2019-11-03 19:37:53,
../dataset/feature_files,review_body-fasttext-df_none-ngram_none-47523-300-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB,,,success,2019-11-03 19:38:04,
../dataset/feature_files,review_body-fasttext-df_none-ngram_none-47523-300-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DT,,,success,2019-11-03 19:38:43,
../dataset/feature_files,review_body-fasttext-df_none-ngram_none-47523-300-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DTB,,,success,2019-11-03 19:39:08,
../dataset/feature_files,review_body-word2vec-df_none-ngram_none-47523-300-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LR,100,,success,2019-11-03 19:39:19,
../dataset/feature_files,review_body-word2vec-df_none-ngram_none-47523-300-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB,,,success,2019-11-03 19:39:31,
../dataset/feature_files,review_body-word2vec-df_none-ngram_none-47523-300-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DT,,,success,2019-11-03 19:40:03,
../dataset/feature_files,review_body-word2vec-df_none-ngram_none-47523-300-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DTB,,,success,2019-11-03 19:40:28,
../dataset/feature_files,review_body-fasttext-df_none-ngram_none-47523-1000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LR,100,,success,2019-11-03 19:41:00,
../dataset/feature_files,review_body-fasttext-df_none-ngram_none-47523-1000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB,,,success,2019-11-03 19:41:32,
../dataset/feature_files,review_body-fasttext-df_none-ngram_none-47523-1000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DT,,,success,2019-11-03 19:43:15,
../dataset/feature_files,review_body-fasttext-df_none-ngram_none-47523-1000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DTB,,,success,2019-11-03 19:44:35,
../dataset/feature_files,review_body-word2vec-df_none-ngram_none-47523-1000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LR,100,,success,2019-11-03 19:45:08,
../dataset/feature_files,review_body-word2vec-df_none-ngram_none-47523-1000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",LRB,,,success,2019-11-03 19:45:40,
../dataset/feature_files,review_body-word2vec-df_none-ngram_none-47523-1000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DT,,,success,2019-11-03 19:48:13,
../dataset/feature_files,review_body-word2vec-df_none-ngram_none-47523-1000-nolda.csv,star_rating,,"helpful_votes, total_votes, helpful_product",DTB,,,success,2019-11-03 19:49:24,
