data_dir,data_file,description,fn_name,lda_topics,min_df,max_df,min_ngram_range,max_ngram_range,max_features,Unnamed: 10,feature_size,window_context,min_word_count,sample,iterations,feature_columns,y,status,status_date
dataset/amazon_reviews,amazon_reviews_us_Wireless_v1_00-csv-100k-preprocessed.csv,word2vec,generate_word2vec_file,,,,,,,,4000,30,1,0.001,50,review_body,"star_rating, helpful_votes, total_votes",success,2019-06-12 05:57:48
dataset/amazon_reviews,amazon_reviews_us_Wireless_v1_00-csv-100k-preprocessed.csv,fasttext,generate_fasttext_file,,,,,,,,4000,30,1,0.001,50,review_body,"star_rating, helpful_votes, total_votes",success,2019-06-15 05:56:58
